year,Marvel,DC,Image,Dark Horse,Other
1991,47.55,26,0,3.71,22.74
1992,45.76,19.34,8.55,5.55,20.8
1993,33.43,19,14.79,3.36,29.42 
1994,31.87,19.35,12.10,5.35,31.33
1997,26.38,23.98,14.08,5.70,29.86
1998,26.22,25.40,14.22,5.61,28.55
1999,23.94,33.22,10.22,8.29,24.33
2000,24.91,31.88,10.14,7.09,25.98
2001,29.54,30.85,8.20,7.04,24.37
2002,33.61,28.35,6.83,6.52,24.69
2003,33.24,29.89,7.24,5.53,24.1
2004,36.54,30.63,3.90,5.58,23.35
2005,36.97,32.96,3.56,5.59,20.92
2006,38.49,34.47,3.72,4.15,19.17
2007,40.25,31.92,3.82,5.61,18.4
2008,40.81,29.94,3.73,6.49,19.03
2009,40.47,29.28,4.17,5.16,20.9
2010,38.23,30.39,4.53,5.17,21.68
2011,37.29,31.41,5.27,4.71,21.32
2012,34.06,31.94,7.31,4.81,21.88
2013,33.5,30.33,8,5.17,23
2014,34.38,28.86,9.23,5.07,22.46
2015,38.74,25.75,9.93,3.79,21.79
2016,37.44,30.02,8.73,3.14,20.68
2017,36.36,30.07,9.8,3.12,20.65
2018,38.24,30.04,9.93,2.92,18.87
2019,40.3,29.23,8.04,3.19,19.24
